ccID,ccLength,ccMeanSlope,ccStdSlope,minDrainageArea,maxDrainageArea,segmentLocation,slopeChangeToPrevCC,meanKSN
0_0_0.0,255.27281111060861,0.6855214861252782,0.07630105223072882,9063.0,20484.0,1.0,,30.90167213114754
0_0_1.0,129.72757737566175,0.35189712364539794,0.0838244866161854,28674.0,51066.0,3.0,-0.3337322417687093,24.455549999999995
1_0_0.0,276.97705636027416,0.758549327892544,0.06337964495702053,9090.0,40401.0,1.0,,44.614200000000004
1_0_1.0,1340.907460736321,0.1566169070850356,0.07149169964161016,40410.0,3209400.0,2.0,-0.6019324208075083,53.3628612565446
1_0_2.0,47.6901230700091,0.5288692549753353,0.08972636330050031,3209400.0,3280600.0,2.0,0.37225234789029954,154.18923076923076
1_0_3.0,90.61994626263936,0.21337066421735926,0.10956963294225265,3281200.0,3306100.0,2.0,-0.31549859075797604,84.10700000000001
1_0_4.0,43.416421501130685,0.42832160717193213,0.11094699519402076,3306200.0,3311600.0,2.0,0.21495094295457287,76.58854545454545
1_0_5.0,709.4239754827795,0.14875919211596708,0.09120469026935128,3311600.0,3753500.0,2.0,-0.28600935498707186,74.1716600985222
1_0_6.0,43.89043790796802,0.9000465749092814,0.20433327730829934,3753600.0,3754700.0,2.0,0.7577343227244211,249.5609090909091
1_0_7.0,9530.794696474957,0.04730869606576956,0.04894877698143722,3754800.0,46641000.0,3.0,-0.852750322310379,31.265641440117605
1_100_0.0,324.8950268956466,0.6826955477243686,0.10918326396463418,9135.0,45972.0,1.0,,36.358999999999995
1_100_1.0,49.376910532051305,0.3692763651303608,0.08716366402588953,49752.0,596070.0,2.0,-0.3134191825940075,34.59558571428571
1_101_0.0,87.05852023420442,0.5398337907855787,0.08110775461003927,10080.0,19179.0,1.0,,33.24442857142857
1_101_1.0,52.594038967057436,0.9711229188645197,0.11456221641879379,20430.0,22347.0,2.0,0.43128912807894104,34.66878571428572
1_101_2.0,51.914766565082516,0.4634370505006325,0.12065950529225847,22419.0,24948.0,2.0,-0.5076858683638872,35.158333333333324
1_101_3.0,9609.376823126096,0.024824415634839718,0.015888023906071295,24957.0,46641000.0,3.0,-0.4386167531027322,19.340273328514662
1_102_0.0,9756.89013424827,0.024103053042994482,0.013434268717430635,10341.0,46641000.0,4.0,,19.426377224199314
1_103_0.0,41.714844214157345,0.583166075869428,0.11361569375134803,10620.0,125310.0,1.0,,58.15083333333333
1_104_0.0,165.80639572285696,0.6741892856271088,0.11212460772756927,9099.0,20961.0,1.0,,28.921312500000003
1_104_1.0,234.84574666013805,0.360391600237714,0.08261888723973851,21006.0,134690.0,2.0,-0.3137976853893949,34.97816923076922
1_105_0.0,261.12828566072125,0.7465831168156304,0.1149161354298479,9063.0,1071200.0,1.0,,87.634203125
1_106_0.0,9693.915252735831,0.024069442827374114,0.01350162992325209,10440.0,46641000.0,4.0,,19.541750204154756
1_107_0.0,48.716730231596834,0.8235502241425603,0.10247820328693472,9036.0,9180.0,1.0,,22.110214285714285
1_107_1.0,32.40063336836725,0.2817506028811953,0.17213875180483018,9189.0,504040.0,2.0,-0.5417996212613649,18.57264
1_108_0.0,215.6000694036606,0.7223415765378783,0.07424001589853345,9360.0,45909.0,1.0,,34.67526666666667
1_109_0.0,86.41979707134277,0.837164650405659,0.07731498723171538,9855.0,11889.0,1.0,,30.07983333333333
1_109_1.0,9612.6076908208,0.02504152545129771,0.0225554566021475,11934.0,46641000.0,3.0,-0.8121273201113367,19.74648291184974
1_10_0.0,41.69162029476915,0.4416322476321086,0.11950959902385679,9801.0,1629000.0,1.0,,32.77627272727272
1_110_0.0,312.7965399756055,0.49591689398067,0.07146573278055525,9180.0,208940.0,1.0,,34.76315294117646
1_111_0.0,305.6771512643265,0.47574374315781515,0.055447249898886095,9117.0,208940.0,1.0,,32.22973333333333
1_112_0.0,55.58747460750826,0.2769886182087765,0.07447096068243368,12078.0,15399.0,1.0,,22.925733333333334
1_112_1.0,240.38751972079356,0.8305946908892791,0.09002891648592497,15408.0,41022.0,2.0,0.5536060726805025,42.31306896551725
1_112_2.0,52.203315818317336,1.1839453244880227,0.09518477719472594,41031.0,41283.0,2.0,0.35335063359874364,78.56254545454546
1_112_3.0,9231.399339505577,0.04531858187159564,0.051222581953674975,41355.0,46641000.0,3.0,-1.1386387960729973,29.830233648393293
1_113_0.0,9540.401085747302,0.047126910300240216,0.04705295282169528,9144.0,46641000.0,4.0,,30.99529001468434
1_114_0.0,82.04100437067159,0.30039240221539043,0.0784599780615063,12258.0,1089100.0,1.0,,107.57904347826089
1_115_0.0,93.91770266899374,0.4359521938595075,0.08778340366732186,13770.0,24705.0,1.0,,24.55184
1_115_1.0,568.0927946852829,0.6985145796908674,0.10999320973261241,24831.0,94086.0,2.0,0.2594652077195729,54.92497500000002
1_115_2.0,8908.58809787901,0.04021332116238629,0.03668788659893811,94095.0,46641000.0,3.0,-0.6552145568286518,28.586252347417954
1_116_0.0,9489.28419693044,0.024228556669998277,0.013549915980850933,11421.0,46641000.0,4.0,,19.512962975146223
1_117_0.0,50.05101006547412,0.9013851315133992,0.128016673259623,10188.0,10755.0,1.0,,43.62327272727273
1_117_1.0,59.22715476187952,1.2400251905446296,0.08006815535297676,10764.0,12204.0,2.0,0.3386400590312302,43.575384615384614
1_117_2.0,38.45619475782947,0.5606471246409753,0.25622416486087674,12213.0,4321600.0,2.0,-0.679378065903654,49.2278
1_118_0.0,750.3432881857343,0.3884921324819523,0.09188867457243147,9333.0,138140.0,1.0,,32.56890452261307
1_118_1.0,126.57314102834434,0.6615148365184156,0.07224433914337772,139790.0,160660.0,2.0,0.2792871134055495,63.58184848484846
1_118_2.0,8649.001057468568,0.031076677847305566,0.04844834354658084,160690.0,46641000.0,3.0,-0.6304452334374672,21.39297822774662
1_119_0.0,107.52313942645984,0.7054442541013937,0.07397333931556342,9423.0,15543.0,1.0,,27.873333333333328
1_119_1.0,233.9163574181233,0.3238100373877936,0.14270755251596332,18180.0,241680.0,2.0,-0.38163421671360004,37.776146666666655
1_11_0.0,137.24491876265782,0.4470780227914292,0.12983821300510542,9198.0,370740.0,1.0,,61.47307500000001
1_11_1.0,58.11702294735239,0.7602832667429472,0.09981127698161678,370850.0,372720.0,2.0,0.31320524395151805,108.01733333333335
1_11_2.0,296.1720717579575,0.3367899266067671,0.11508854219556387,372740.0,515660.0,2.0,-0.4072691044016991,67.00323529411762
1_11_3.0,36.66082294103945,0.1468591658385501,0.0956281367351367,515710.0,522040.0,2.0,-0.206154996502698,59.90650000000001
1_11_4.0,618.0195793984764,0.20049925605257637,0.10608567143930518,522060.0,3209400.0,2.0,0.05364009021402627,57.24951162790697
1_120_0.0,9463.630525971621,0.02420180059407718,0.013573396107596081,10989.0,46641000.0,4.0,,19.929158385321127
1_121_0.0,241.03213660474617,0.42542299400480943,0.11088455650024863,9000.0,1110700.0,1.0,,83.62278387096775
1_122_0.0,63.12385185895089,0.726862078480936,0.07339503657297886,12033.0,15750.0,1.0,,31.942785714285716
1_122_1.0,43.69787860055235,0.4850157612574025,0.1078238603445247,15840.0,17091.0,2.0,-0.2418463172235335,31.989
1_122_2.0,61.30904965795338,0.8977425747744352,0.11340727531452137,17181.0,41040.0,2.0,0.4127268135170327,61.220800000000004
1_123_0.0,9390.50698702381,0.02414393376668153,0.013649340354453041,10575.0,46641000.0,4.0,,20.042532901554438
1_124_0.0,399.2520190633273,0.7296980239665168,0.10107406420379142,9000.0,70506.0,1.0,,51.8612336448598
1_124_1.0,42.37337981045379,0.8922663133592471,0.10671405132105956,70515.0,73926.0,2.0,0.17392284780099387,63.87433333333333
1_124_2.0,122.84946949419293,0.6855224472215573,0.06744143922000786,74034.0,79884.0,2.0,-0.2067438661376898,63.872457142857115
1_125_0.0,559.0097229755622,0.7934043417309429,0.11485365319290505,10350.0,138680.0,1.0,,77.49333108108108
1_125_1.0,411.2923046377406,0.5271329647769195,0.0631540489414026,138690.0,260410.0,2.0,-0.2662713769540235,61.377956896551744
1_125_2.0,8441.690188253531,0.024329899361623174,0.015493146396847422,260420.0,46641000.0,3.0,-0.5028075474389606,21.354529194078975
1_126_0.0,9282.385445239888,0.024037861545787007,0.013550867553280027,12042.0,46641000.0,4.0,,19.90383590127153
1_127_0.0,35.88315284360749,0.9119427718525326,0.3425556989588168,9189.0,12303.0,1.0,,29.833899999999993
1_127_1.0,9275.369435377972,0.04412717635254921,0.04246843351057799,12312.0,46641000.0,3.0,-0.867827150652624,29.961316641566352
1_128_0.0,293.11022388513743,0.7999255992967125,0.10442125744820707,9504.0,69912.0,1.0,,47.10508974358974
1_128_1.0,121.99766003281438,0.8294491387147418,0.15434738105091814,70407.0,72045.0,2.0,0.029523539418029432,75.71825000000001
1_128_2.0,49.730928826441186,1.0730126985715793,0.10548086636155847,72054.0,72612.0,2.0,0.24356355985683753,76.27924999999999
1_128_3.0,106.6907974989488,0.7844900700361819,0.10706144706942801,72729.0,90648.0,2.0,-0.28852262853539756,71.40199999999999
1_128_4.0,349.9398627788497,0.5200661558215215,0.06423886242898572,90729.0,260410.0,2.0,-0.26442391421466027,53.10413592233011
1_129_0.0,54.84929173261903,0.7470168874715466,0.1161504022842384,9072.0,19125.0,1.0,,55.49176923076922
1_129_1.0,57.773062906449816,1.2578497389873877,0.12855549202085054,19467.0,20907.0,2.0,0.5108328515158411,55.505857142857145
1_129_2.0,37.106843075543956,0.5171308739385909,0.2589947547978738,21069.0,4432500.0,2.0,-0.7407188650487968,65.1702
1_12_0.0,97.62791993979151,0.7590250403233338,0.10561245584819032,9045.0,9585.0,1.0,,30.886545454545455
1_130_0.0,265.6820618673537,0.7941229393223622,0.10538008170104547,9738.0,69912.0,1.0,,48.37074647887322
1_131_0.0,9221.778344246068,0.024047971716443867,0.013571439143237248,9000.0,46641000.0,4.0,,20.008994920993256
1_132_0.0,47.21792939106923,0.5572758148963077,0.08957388580022878,13068.0,16947.0,1.0,,41.78415384615384
1_132_1.0,90.69100140968168,0.8347070314301468,0.07073758161715832,16956.0,33039.0,2.0,0.27743121653383895,41.76470833333334
1_132_2.0,9101.34444112205,0.04286690142037279,0.042881522159426845,33390.0,46641000.0,3.0,-0.7918514147033859,29.18044785276085
1_133_0.0,316.2309778754794,0.7118659526232421,0.11648387203947896,9621.0,94086.0,1.0,,62.956261363636365
1_134_0.0,530.7543868933622,0.7360753155045731,0.08276398015741293,9783.0,30978.0,1.0,,40.97516993464051
1_134_1.0,80.43499719132119,0.3978371149734,0.09234077045788358,31626.0,41157.0,2.0,-0.338238200531173,27.54174736842105
1_134_2.0,8615.007178707441,0.024289013657354124,0.014300796240761115,41274.0,46641000.0,3.0,-0.37355248014630416,21.06257572580648
1_135_0.0,9162.462850513939,0.024503441383072505,0.014646634770509898,10350.0,46641000.0,4.0,,20.17617118515717
1_136_0.0,130.83426458399495,0.6948185150968634,0.0785201266827556,10386.0,69894.0,1.0,,43.76015151515151
1_137_0.0,94.34571590515128,0.6245360623609173,0.08605311544615919,9243.0,4488900.0,1.0,,30.29708333333333
1_138_0.0,50.329034596261,0.9193048050749114,0.1072185910556039,9234.0,32616.0,1.0,,43.407214285714296
1_139_0.0,280.3616542099582,0.5008772796142136,0.10084739852524036,11160.0,36882.0,1.0,,27.328475000000005
1_139_1.0,8860.486544928912,0.024504200151947056,0.016375818063201084,36891.0,46641000.0,3.0,-0.476377415690981,20.64514369616291
1_13_0.0,267.93272906645444,0.6361359644827576,0.11274232435506497,12096.0,128950.0,1.0,,37.28627272727273
1_140_0.0,65.73084607292158,0.5266780078758302,0.07480512694234774,14751.0,83358.0,1.0,,25.405473684210534
1_141_0.0,164.8148044314149,0.5280261845072949,0.09536432383892166,9549.0,22536.0,1.0,,23.87706976744187
1_142_0.0,9109.9320969899,0.024280246088380298,0.013773449973423849,11709.0,46641000.0,4.0,,20.509986193745267
1_143_0.0,56.49800553485181,0.6211473354365598,0.07333934596826472,10647.0,69867.0,1.0,,50.17900000000001
1_144_0.0,274.8713684833966,0.7922077335626561,0.14218629954560089,13932.0,138680.0,1.0,,79.87466666666664
1_145_0.0,191.54298528864803,0.6431483379318416,0.089389992978991,11547.0,94095.0,1.0,,63.08984905660377
1_146_0.0,337.8159721759245,0.7374002341725169,0.05094334589554016,10107.0,14157.0,1.0,,33.114131313131324
1_146_1.0,8735.500558622065,0.024949227537061767,0.020549310432870914,14166.0,46641000.0,3.0,-0.7124555887792925,20.82673926014322
1_147_0.0,400.76159895961024,0.6930831819949879,0.05822753007554012,10440.0,21969.0,1.0,,31.239728070175442
1_147_1.0,8663.427616615552,0.025080995773719524,0.021694479285828953,22005.0,46641000.0,3.0,-0.6680068560369684,20.99355206412828
1_148_0.0,203.26250707193142,0.7948553926182482,0.11299980099418122,9081.0,27171.0,1.0,,40.14772549019607
